=== OpenStack Metrics Report - Thu Jul  3 06:37:01 AM UTC 2025 ===
Project: cloud_app

=== DATABASE SERVER METRICS ===
==========================================
Metrics for db-server (ID: 593a0ace-1d33-42b8-be85-173ec243c43b)
==========================================
Available metrics:
Resource found: 593a0ace-1d33-42b8-be85-173ec243c43b
Available metrics:
  - compute.instance.booting.time
  - cpu
  - disk.ephemeral.size
  - disk.root.size
  - memory
  - memory.resident
  - memory.swap.in
  - memory.swap.out
  - memory.usage
  - power.state
  - vcpus

[0;34m[INFO] Getting CPU metrics for resource 593a0ace-1d33-42b8-be85-173ec243c43b[0m
+---------------------------+-------------+----------------+
| timestamp                 | granularity |          value |
+---------------------------+-------------+----------------+
| 2025-07-02T18:10:00+00:00 |       300.0 |  56370000000.0 |
| 2025-07-02T18:15:00+00:00 |       300.0 |  67320000000.0 |
| 2025-07-02T18:20:00+00:00 |       300.0 |  68230000000.0 |
| 2025-07-02T18:25:00+00:00 |       300.0 |  69170000000.0 |
| 2025-07-02T18:30:00+00:00 |       300.0 |  70000000000.0 |
| 2025-07-02T18:35:00+00:00 |       300.0 |  70850000000.0 |
| 2025-07-02T18:40:00+00:00 |       300.0 |  71680000000.0 |
| 2025-07-02T18:45:00+00:00 |       300.0 |  72530000000.0 |
| 2025-07-02T18:50:00+00:00 |       300.0 |  73390000000.0 |
| 2025-07-02T18:55:00+00:00 |       300.0 |  74220000000.0 |
| 2025-07-02T19:00:00+00:00 |       300.0 |  75060000000.0 |
| 2025-07-02T19:05:00+00:00 |       300.0 |  75910000000.0 |
| 2025-07-02T19:10:00+00:00 |       300.0 |  76740000000.0 |
| 2025-07-02T19:15:00+00:00 |       300.0 |  77590000000.0 |
| 2025-07-02T19:20:00+00:00 |       300.0 |  78430000000.0 |
| 2025-07-02T19:25:00+00:00 |       300.0 |  79270000000.0 |
| 2025-07-02T19:30:00+00:00 |       300.0 |  80110000000.0 |
| 2025-07-02T19:35:00+00:00 |       300.0 |  80930000000.0 |
| 2025-07-02T19:40:00+00:00 |       300.0 |  81770000000.0 |
| 2025-07-02T19:45:00+00:00 |       300.0 |  82600000000.0 |
| 2025-07-02T19:50:00+00:00 |       300.0 |  83460000000.0 |
| 2025-07-02T19:55:00+00:00 |       300.0 |  84290000000.0 |
| 2025-07-02T20:00:00+00:00 |       300.0 |  85130000000.0 |
| 2025-07-02T20:05:00+00:00 |       300.0 |  85970000000.0 |
| 2025-07-02T20:10:00+00:00 |       300.0 |  86780000000.0 |
| 2025-07-02T20:15:00+00:00 |       300.0 |  87640000000.0 |
| 2025-07-02T20:20:00+00:00 |       300.0 |  88450000000.0 |
| 2025-07-02T20:25:00+00:00 |       300.0 |  89260000000.0 |
| 2025-07-02T20:30:00+00:00 |       300.0 |  90080000000.0 |
| 2025-07-02T20:35:00+00:00 |       300.0 |  90910000000.0 |
| 2025-07-02T20:40:00+00:00 |       300.0 |  91750000000.0 |
| 2025-07-02T20:45:00+00:00 |       300.0 |  92580000000.0 |
| 2025-07-02T20:50:00+00:00 |       300.0 |  93410000000.0 |
| 2025-07-02T20:55:00+00:00 |       300.0 |  94210000000.0 |
| 2025-07-02T21:00:00+00:00 |       300.0 |  95050000000.0 |
| 2025-07-02T21:05:00+00:00 |       300.0 |  95890000000.0 |
| 2025-07-02T21:10:00+00:00 |       300.0 |  96700000000.0 |
| 2025-07-02T21:15:00+00:00 |       300.0 |  97550000000.0 |
| 2025-07-02T21:20:00+00:00 |       300.0 |  98370000000.0 |
| 2025-07-02T21:25:00+00:00 |       300.0 |  99210000000.0 |
| 2025-07-02T21:30:00+00:00 |       300.0 | 100020000000.0 |
| 2025-07-02T21:35:00+00:00 |       300.0 | 100830000000.0 |
| 2025-07-02T21:40:00+00:00 |       300.0 | 101680000000.0 |
| 2025-07-02T21:45:00+00:00 |       300.0 | 102530000000.0 |
| 2025-07-02T21:50:00+00:00 |       300.0 | 103390000000.0 |
| 2025-07-02T21:55:00+00:00 |       300.0 | 104230000000.0 |
| 2025-07-02T22:00:00+00:00 |       300.0 | 105040000000.0 |
| 2025-07-02T22:05:00+00:00 |       300.0 | 105870000000.0 |
| 2025-07-02T22:10:00+00:00 |       300.0 | 106700000000.0 |
| 2025-07-02T22:15:00+00:00 |       300.0 | 107530000000.0 |
| 2025-07-02T22:20:00+00:00 |       300.0 | 108340000000.0 |
| 2025-07-02T22:25:00+00:00 |       300.0 | 109170000000.0 |
| 2025-07-02T22:30:00+00:00 |       300.0 | 110020000000.0 |
| 2025-07-02T22:35:00+00:00 |       300.0 | 110880000000.0 |
| 2025-07-02T22:40:00+00:00 |       300.0 | 111720000000.0 |
| 2025-07-02T22:45:00+00:00 |       300.0 | 112570000000.0 |
| 2025-07-02T22:50:00+00:00 |       300.0 | 113420000000.0 |
| 2025-07-02T22:55:00+00:00 |       300.0 | 114270000000.0 |
| 2025-07-02T23:00:00+00:00 |       300.0 | 115110000000.0 |
| 2025-07-02T23:05:00+00:00 |       300.0 | 115930000000.0 |
| 2025-07-02T23:10:00+00:00 |       300.0 | 116750000000.0 |
| 2025-07-02T23:15:00+00:00 |       300.0 | 117590000000.0 |
| 2025-07-02T23:20:00+00:00 |       300.0 | 118410000000.0 |
| 2025-07-02T23:25:00+00:00 |       300.0 | 119250000000.0 |
| 2025-07-02T23:30:00+00:00 |       300.0 | 120090000000.0 |
| 2025-07-02T23:35:00+00:00 |       300.0 | 120960000000.0 |
| 2025-07-02T23:40:00+00:00 |       300.0 | 121800000000.0 |
| 2025-07-02T23:45:00+00:00 |       300.0 | 122650000000.0 |
| 2025-07-02T23:50:00+00:00 |       300.0 | 123530000000.0 |
| 2025-07-02T23:55:00+00:00 |       300.0 | 124380000000.0 |
| 2025-07-03T00:00:00+00:00 |       300.0 | 125310000000.0 |
| 2025-07-03T00:05:00+00:00 |       300.0 | 126140000000.0 |
